"ID","GB_ACC","Name","SPOT_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10458","AA043806","Hs.166539_ITGB3B","",-0.515619719025001,-0.553077984076923,-3.79065184625556,0.000712457604648463,0.0680339857011471,-0.413261557536948
"5591","R90829","","",0.61572936575,0.0933799119230769,3.78913988328667,0.000715345245641537,0.0680339857011471,-0.416756273784339
"13967","W78878","Hs.167805_EPC","",-1.090920342775,0.351457442846154,-3.78451497842934,0.000724249353830877,0.0680339857011471,-0.427443952024197
"14582","","","--BLANK",0.650251487225,0.295870014769231,3.78267711643857,0.000727817688932452,0.0680339857011471,-0.43169012945082
"11097","R94307","Hs.418822","",1.2589351125,2.66116375,3.78179542570003,0.000729535643153916,0.0680339857011471,-0.433726989903653
"9472","R23458","Hs.386283_ADAM1","",0.42181983635,0.0749457726538462,3.78075885867494,0.000731560437432728,0.0680339857011471,-0.436121485005473
"990","H72699","Hs.420757_GPATC","",-0.6483115075,-0.310526907692308,-3.77544139178323,0.000742034022212764,0.0680339857011471,-0.448402291173893
"14068","R11996","Hs.277154_GFM","",-0.4718945425875,-0.488438353192308,-3.77477522593095,0.000743356420860871,0.0680339857011471,-0.449940499632414
"9645","W32652","Hs.54037_ENPP","",1.16332555535714,1.61731414318182,3.84605666247735,0.000746315456847221,0.0680339857011471,-0.452987167817709
"10064","AA045274","Hs.11355_TMP","",-0.659610877325,0.168651528153846,-3.77041817768929,0.000752062490324208,0.0680339857011471,-0.459999386667056
"9315","","","--BLANK",0.869119178375,-0.181238451692308,3.76461000903911,0.000763823135715054,0.0680339857011471,-0.473403674406495
"4151","N92783","Hs.24907_CORO2","",-0.6794657175625,-0.178713803269231,-3.76437433872977,0.000764304104044568,0.0680339857011471,-0.473947447840223
"17723","","","--BLANK",1.081204008125,0.0081329876923077,3.76426119502601,0.000764535118714875,0.0680339857011471,-0.474208506567215
"407","T65350","Hs.521973_WDR1","",0.6098485704,-0.19969155996,3.77605600139837,0.000772909609415245,0.0680339857011471,-0.479773984532033
"11390","T80874","Hs.235069_RECQ","",-0.711734438875,-0.243677071923077,-3.75853121010237,0.00077632408127675,0.0680339857011471,-0.487426710966107
"13539","W05086","","",-0.5772539217875,-0.0131088000384615,-3.7583536926997,0.000776692128679877,0.0680339857011471,-0.487836131724141
"11415","T78275","Hs.126980","",-1.4886566144375,0.425281879884615,-3.7580841390857,0.000777251320828948,0.0680339857011471,-0.488457812228504
"2026","","","--BLANK",-1.32006779299145,-1.31054524727273,-3.82396176566745,0.000789429458229491,0.0680339857011471,-0.493368358672812
"1781","","","--UNRESOLVE",-0.634153350125,0.545971897538462,-3.75554680201865,0.000782534357654098,0.0680339857011471,-0.49430917862383
"1295","BQ006915","Hs.519818_MGAT","",0.741130128900001,1.09049262292308,3.75521891509873,0.000783219609852239,0.0680339857011471,-0.495065243926053
"3783","BM928282","Hs.506603_DIP13","",0.712430897375,0.348121292269231,3.75423175184171,0.000785286225125507,0.0680339857011471,-0.497341410332357
"7778","AW953488","Hs.221497_PRO014","",-0.781058537875,-0.0729414219230769,-3.754115044917,0.000785530901380373,0.0680339857011471,-0.497610498558256
"13772","R16964","Hs.534398_COMMD","",-0.629840963025,0.0471471786153846,-3.74802358377365,0.000798405496506918,0.0680339857011471,-0.51165233429919
"11859","R88505","Hs.103521_SR-A","",0.571094200035714,0.0187654930909091,3.81660861657362,0.000804314175550531,0.0680339857011471,-0.516026683577133
"1474","AA046822","Hs.53565","",-0.567474590875,0.248208936153846,-3.73966462930019,0.000816408291970167,0.0680339857011471,-0.530911182001972
"13691","R19768","Hs.172788_ARMCX","",1.02598741685,-0.266949451692308,3.73501862925657,0.000826585096211335,0.0680339857011471,-0.541610453857416
"13948","W24855","Hs.112444_TAF1","",0.7818619346,-0.0653747436923077,3.73477631687093,0.00082711925064997,0.0680339857011471,-0.542168376215264
